timestamp,count,window
2019-09-26 02:00:00+02:00,764,1
2019-09-27 02:00:00+02:00,0,1
2019-09-28 02:00:00+02:00,0,1
2019-09-29 02:00:00+02:00,1973,1
2019-09-30 02:00:00+02:00,1908,1
2019-10-01 02:00:00+02:00,2270,1
2019-10-02 02:00:00+02:00,899,1
2019-10-03 02:00:00+02:00,1442,1
2019-10-04 02:00:00+02:00,0,1
2019-10-05 02:00:00+02:00,0,1
2019-10-06 02:00:00+02:00,1714,1
2019-10-07 02:00:00+02:00,1772,1
2019-10-08 02:00:00+02:00,2259,1
2019-10-09 02:00:00+02:00,1384,1
2019-10-10 02:00:00+02:00,1761,1
2019-10-11 02:00:00+02:00,0,1
2019-10-12 02:00:00+02:00,0,1
2019-10-13 02:00:00+02:00,1821,1
2019-10-14 02:00:00+02:00,1425,1
2019-10-15 02:00:00+02:00,1935,1
2019-10-16 02:00:00+02:00,0,1
2019-10-17 02:00:00+02:00,1377,1
2019-10-18 02:00:00+02:00,0,1
2019-10-19 02:00:00+02:00,0,1
2019-10-20 02:00:00+02:00,1781,1
2019-10-21 02:00:00+02:00,2001,1
2019-10-22 02:00:00+02:00,2381,1
2019-10-23 02:00:00+02:00,1294,1
2019-10-24 02:00:00+02:00,1619,1
2019-10-25 02:00:00+02:00,0,1
2019-10-26 02:00:00+02:00,0,1
2019-10-27 02:00:00+02:00,1611,1
2019-10-28 02:00:00+02:00,1848,1
2019-10-29 02:00:00+02:00,2140,1
2019-10-30 02:00:00+02:00,1498,1
2019-10-31 02:00:00+02:00,1788,1
2019-11-01 02:00:00+02:00,0,1
2019-11-02 02:00:00+02:00,0,1
2019-11-03 02:00:00+02:00,1965,1
2019-11-04 02:00:00+02:00,1928,1
2019-11-05 02:00:00+02:00,1196,1
2019-11-06 02:00:00+02:00,0,1
2019-11-07 02:00:00+02:00,594,1
2019-11-08 02:00:00+02:00,0,1
2019-11-09 02:00:00+02:00,0,1
2019-11-10 02:00:00+02:00,1734,1
2019-11-11 02:00:00+02:00,2048,1
2019-11-12 02:00:00+02:00,1691,1
2019-11-13 02:00:00+02:00,1476,1
2019-11-14 02:00:00+02:00,1454,1
2019-11-15 02:00:00+02:00,0,1
2019-11-16 02:00:00+02:00,0,1
2019-11-17 02:00:00+02:00,1753,1
2019-11-18 02:00:00+02:00,1930,1
2019-11-19 02:00:00+02:00,2490,1
2019-11-20 02:00:00+02:00,1581,1
2019-11-21 02:00:00+02:00,1710,1
2019-11-22 02:00:00+02:00,0,1
2019-11-23 02:00:00+02:00,0,1
2019-11-24 02:00:00+02:00,203,1
2019-11-25 02:00:00+02:00,1651,1
2019-11-26 02:00:00+02:00,2751,1
2019-11-27 02:00:00+02:00,1671,1
2019-11-28 02:00:00+02:00,1871,1
2019-11-29 02:00:00+02:00,0,1
2019-11-30 02:00:00+02:00,0,1
2019-12-01 02:00:00+02:00,1896,1
2019-12-02 02:00:00+02:00,2063,1
2019-12-03 02:00:00+02:00,2747,1
2019-12-04 02:00:00+02:00,1709,1
2019-12-05 02:00:00+02:00,2094,1
2019-12-06 02:00:00+02:00,0,1
2019-12-07 02:00:00+02:00,0,1
2019-12-08 02:00:00+02:00,2135,1
2019-12-09 02:00:00+02:00,2183,1
2019-12-10 02:00:00+02:00,1698,1
2019-12-11 02:00:00+02:00,593,1
2019-12-12 02:00:00+02:00,2012,1
2019-12-13 02:00:00+02:00,0,1
2019-12-14 02:00:00+02:00,0,1
2019-12-15 02:00:00+02:00,2146,1
2019-12-16 02:00:00+02:00,2204,1
2019-12-17 02:00:00+02:00,3192,1
2019-12-18 02:00:00+02:00,2212,1
2019-12-19 02:00:00+02:00,1933,1
2019-12-20 02:00:00+02:00,0,1
2019-12-21 02:00:00+02:00,0,1
2019-12-22 02:00:00+02:00,2139,1
2019-12-23 02:00:00+02:00,2289,1
2019-12-24 02:00:00+02:00,3109,1
2019-12-25 02:00:00+02:00,2270,1
2019-12-26 02:00:00+02:00,1335,1
2019-12-27 02:00:00+02:00,0,1
2019-12-28 02:00:00+02:00,0,1
2019-12-29 02:00:00+02:00,4670,1
2019-12-30 02:00:00+02:00,1983,1
2019-12-31 02:00:00+02:00,1745,1
2020-01-01 02:00:00+02:00,1231,1
2020-01-02 02:00:00+02:00,1177,1
2020-01-03 02:00:00+02:00,0,1
2020-01-04 02:00:00+02:00,0,1
2020-01-05 02:00:00+02:00,1858,1
2020-01-06 02:00:00+02:00,1574,1
2020-01-07 02:00:00+02:00,0,1
2020-01-08 02:00:00+02:00,394,1
2020-01-09 02:00:00+02:00,990,1
2020-01-10 02:00:00+02:00,0,1
2020-01-11 02:00:00+02:00,0,1
2020-01-12 02:00:00+02:00,207,1
2020-01-13 02:00:00+02:00,1562,1
2020-01-14 02:00:00+02:00,2236,1
2020-01-15 02:00:00+02:00,1196,1
2020-01-16 02:00:00+02:00,791,1
2020-01-17 02:00:00+02:00,0,1
2020-01-18 02:00:00+02:00,0,1
2020-01-19 02:00:00+02:00,715,1
2020-01-20 02:00:00+02:00,858,1
2020-01-21 02:00:00+02:00,1051,1
2020-01-22 02:00:00+02:00,598,1
2020-01-23 02:00:00+02:00,877,1
